Location name,Latitude,Longitude,Coordinates type,Material identifier,Short references,Original material identifier,Material type,Taxon rank,Taxon name,Reported biological identification,Fish category,Plant metabolism,Context,Relative dating - lower limit,Relative dating - upper limit,Relative dating timescale,Sample identifier,Sample type,Bone,Combustion stage,Dataset DOI,Result type,δ13C (‰vpdb),δ13C (‰vpdb) uncertainty,δ13C uncertainty type,δ15N (‰air),δ15N (‰air) uncertainty,δ15N uncertainty type,δ34S uncertainty type,Country
Archontiko,40.78631,22.46671,exact,2018.001.1284,Nitsch et al. (2017),ARB055,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1386,grain,,charred,10.48530/isoarch.2018.001,exact,-22.9,,,2.8,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1285,Nitsch et al. (2017),ARB056,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1387,grain,,charred,10.48530/isoarch.2018.001,exact,-22,,,2.1,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1286,Nitsch et al. (2017),ARB057,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1388,grain,,charred,10.48530/isoarch.2018.001,exact,-22.5,,,2.4,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1287,Nitsch et al. (2017),ARB058,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1389,grain,,charred,10.48530/isoarch.2018.001,exact,-23.1,,,1.6,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1288,Nitsch et al. (2017),ARB059,plant,species,triticum monococcum,einkorn,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1390,grain,,charred,10.48530/isoarch.2018.001,exact,-22.2,,,4.3,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1289,Nitsch et al. (2017),ARB060,plant,species,triticum monococcum,emmer,,C3,archaeological,-2130,-1414,BCE/CE,2018.001.1391,grain,,charred,10.48530/isoarch.2018.001,exact,-23,,,5.6,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1290,Nitsch et al. (2017),ARB061,plant,species,triticum monococcum,emmer,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1392,grain,,charred,10.48530/isoarch.2018.001,exact,-23.6,,,2.6,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1291,Nitsch et al. (2017),ARB062,plant,species,triticum monococcum,emmer,,C3,archaeological,-2130,-1414,BCE/CE,2018.001.1393,grain,,charred,10.48530/isoarch.2018.001,exact,-23.7,,,4.1,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1292,Nitsch et al. (2017),ARB063,plant,species,triticum monococcum,emmer,,C3,archaeological,-2130,-1414,BCE/CE,2018.001.1394,grain,,charred,10.48530/isoarch.2018.001,exact,-23.8,,,3.4,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1293,Nitsch et al. (2017),ARB064,plant,species,triticum monococcum,emmer,,C3,archaeological,-1516,-1414,BCE/CE,2018.001.1395,grain,,charred,10.48530/isoarch.2018.001,exact,-23.4,,,1.9,,,,Greece
